"seed_1985_part_23","seed_1986_part_23"
"W","W"
"W","W"
"WO","WO"
"W","W"
"WO","W"
"WO","W"
"W","W"
"W","W"
"W","W"
"WO","WO"
"WO","WO"
"W","W"
"W","W"
"W","WO"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"WO","WO"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"WO","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"WO","WO"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","WO"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","WO"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"WO","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
"W","W"
